,Domain,Division,Class,Order,Family,Genus,Cell shape,Cell motility,Sampling ocean,Sampling regional sea,Sampling country,Sampling ecosystem,Isolation by,Sampling by,Deposit to rcc by,RCC medium,RCC temperature,RCC transfer period weeks,RCC light,Remark,Sampling date,Clonal,Axenic,Pure,Heterotrophic,Toxic,Symbiotic,Transformed,STRAIN ID,Latitude,Longitude,Sampling site,Sampling station,Isolation method,Identification method,Isolation medium,Purification by,Purification method,Sampling depth (m),Contaminant type,Sampling cruise,Sampling temperature,Identification by,Cell assemblage,Date entered catalog,Host type,Host genus,Sampling substrate,Isolation growth temperature,Clade,Deposit to RCC date,Sampling water type
RCC173,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Atlantic Ocean,Sargasso Sea,Bermuda,pelagic,Guillard B.,Guillard R.,CCMP,K/2,17.00,16.00,25,"Non motile, no coccoliths.","Wednesday, April 20, 1960",No,No,Yes,No,No,No,No,RCC173,32.17,-64.5,,,,,,,,,,,,,,,,,,,,,
RCC174,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Atlantic Ocean,English Channel,UK,pelagic,,,L. Medlin,K/2,17.00,16.00,25,Morphotype B. Mitochondrial genotype Beta.,"Tuesday, July 1, 1975",No,No,Yes,No,No,No,No,RCC174,50.03,-4.37,,,,,,,,,,,,,,,,,,,,,
RCC192,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,,,,,Provasoli L.,Pravasoli L.,CCMP,K/2,17.00,16.00,25,No coccoliths. Mitochondrial genotype Alpha.,,No,No,Yes,No,No,No,No,RCC192,,,,,,,,,,,,,,,,,,,,,,,
RCC458,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K/2,17.00,16.00,25,,"Wednesday, May 16, 2001",No,No,No,No,No,No,,RCC458,48.75,-3.95,Britanny coast,Roscoff Astan,Filtration < 3 µm,sequence,K/10,F.Le Gall,Serial dilutions (five cells),0,No,,,,,,,,,,,,
RCC502,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,flagellated,Mediterranean Sea,Balearic Sea,Spain,coastal,Guillou L.,Guillou L.,ICM_Barcelona,K/2,17.00,16.00,25,,"Monday, June 25, 2001",No,No,Yes,No,No,No,No,RCC502,41.67,2.8,Spanish coast,Blanès,serial dilution,sequence,f/2,L.Guillou,,0,,,,,,,,,,,,,
RCC538,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Mediterranean Sea,,Italy,pelagic,Partensky F.,Partensky F.,,K/2,17.00,16.00,25,,"Tuesday, September 28, 1999",No,No,No,No,No,No,No,RCC538,41.9,10.43,,9,Filtration < 0.6 µm,sequence,Pro2/10+NO3,D.Marie+F.Le Gall,Flow cytometry sorting,5,,PROSOPE,,,,,,,,,,,
RCC868,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,International waters,pelagic,"Garczarek L., Marie D.",Garczarek L. / Marie D.,,K/2,19.00,,,,"Friday, November 26, 2004",No,No,Yes,No,No,No,No,RCC868,-31.82,-91.47,,EGY2,Filtration < 0.6µ followed by sorting,sequence,K/10,Le Gall F.,,5,,Biosope,,,,,,,,,,,
RCC874,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,International waters,pelagic,"Garczarek L., Marie D.",Garczarek L. / Marie D.,,K/2,17.00,16.00,25,,"Friday, November 26, 2004",No,No,Yes,No,No,No,No,RCC874,-31.82,-91.47,,EGY2,Cell sorting,sequence,K/10,Le Gall F.,,5,,Biosope,,,,,,,,,,,
RCC904,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Mediterranean Sea,,,pelagic,,,,K/2,17.00,16.00,25,,"Monday, September 27, 1999",No,No,Yes,No,No,No,No,RCC904,39.12,14.08,,8,"Filtration<0,6µm",,,D.Marie+F.Le Gall,Flow cytometry sorting,30,,PROSOPE,18.68,,,,,,,,,,
RCC909,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,South East Pacific,Chile,pelagic,"Garczarek L., Marie D.",Garczarek L. / Marie D.,,K,20.00,3.00,100,12/2013 Souche purifiée après 3 passage sur boites,"Saturday, December 4, 2004",No,No,Yes,No,No,No,No,RCC909,-33.35,-78.1,,STB20,Filtration < 0.6 um followed by Serial dilution,sequence,Pro2/100,P.Gourvil,"serial algual plating (agarose LMP 0,35%)",5,,Biosope,,,,,,,,,,,
