"","Strain","Rep","Position","Temperature","Date","ConcCellmL"
"1",371,1,1,6.8,"9/21/20",28.2485875706215
"2",371,2,1,6.8,"9/21/20",28.2485875706215
"3",371,3,1,6.8,"9/21/20",28.2485875706215
"4",371,1,3,9.5,"9/21/20",28.2485875706215
"5",371,2,3,9.5,"9/21/20",28.2485875706215
"6",371,3,3,9.5,"9/21/20",28.2485875706215
"7",371,1,1,6.8,"9/23/20",0
"8",371,2,1,6.8,"9/23/20",56.4971751412429
"9",371,3,1,6.8,"9/23/20",112.994350282486
"10",371,1,3,9.5,"9/23/20",3107.34463276836
"11",371,2,3,9.5,"9/23/20",536.723163841808
"12",371,3,3,9.5,"9/23/20",480.225988700565
"13",371,1,1,6.8,"9/27/20",197.74011299435
"14",371,2,1,6.8,"9/27/20",254.237288135593
"15",371,3,1,6.8,"9/27/20",225.988700564972
"16",371,1,3,9.5,"9/27/20",1045.19774011299
"17",371,2,3,9.5,"9/27/20",593.220338983051
"18",371,3,3,9.5,"9/27/20",564.971751412429
"19",371,1,7,15,"9/29/20",407826.520438684
"20",371,2,7,15,"9/29/20",301099.404489235
"21",371,3,7,15,"9/29/20",265786.361844698
"22",371,1,9,17.5,"9/29/20",357627.118644068
"23",371,2,9,17.5,"9/29/20",273075.060532688
"24",371,3,9,17.5,"9/29/20",322342.064714946
"25",371,1,5,12,"9/22/20",7033.89830508475
"26",371,2,5,12,"9/22/20",6836.1581920904
"27",371,3,5,12,"9/22/20",22780.8101120368
"28",371,1,9,17.5,"9/22/20",40310.7344632768
"29",371,2,9,17.5,"9/22/20",39322.0338983051
"30",371,3,9,17.5,"9/22/20",40056.4971751412
"31",371,1,11,19.6,"9/22/20",44381.6698053986
"32",371,3,11,19.6,"9/22/20",37010.7858243451
"33",371,1,13,21.9,"9/22/20",44519.7740112994
"34",371,2,13,21.9,"9/22/20",34519.7740112994
"35",371,3,13,21.9,"9/22/20",43700.5649717514
"36",371,1,15,23.8,"9/22/20",48389.8305084746
"37",371,2,15,23.8,"9/22/20",49576.2711864407
"38",371,3,15,23.8,"9/22/20",40084.7457627119
"39",371,1,17,25.7,"9/22/20",17514.1242937853
"40",371,2,17,25.7,"9/22/20",16779.6610169492
"41",371,3,17,25.7,"9/22/20",21864.406779661
"42",371,2,11,19.6,"9/22/20",32307.1601521965
"43",371,1,5,12,"9/23/20",36995.9088252484
"44",371,3,5,12,"9/23/20",34225.3939934582
"45",371,1,7,15,"9/23/20",66888.6198547216
"46",371,2,7,15,"9/23/20",70183.3275683155
"47",371,3,7,15,"9/23/20",30621.4689265537
"48",371,1,9,17.5,"9/23/20",104096.04519774
"49",371,2,9,17.5,"9/23/20",100932.203389831
"50",371,3,9,17.5,"9/23/20",125028.248587571
"51",371,1,13,21.9,"9/23/20",201355.93220339
"52",371,2,13,21.9,"9/23/20",126186.440677966
"53",371,3,13,21.9,"9/23/20",195423.728813559
"54",371,1,15,23.8,"9/23/20",199632.768361582
"55",371,2,15,23.8,"9/23/20",199080.723929905
"56",371,3,15,23.8,"9/23/20",188340.151957919
"57",371,1,17,25.7,"9/23/20",73024.9928181557
"58",371,2,17,25.7,"9/23/20",53276.8361581921
"59",371,3,17,25.7,"9/23/20",64579.1439241597
"60",371,1,11,19.6,"9/23/20",132372.881355932
"61",371,3,11,19.6,"9/23/20",112983.050847458
"62",371,2,5,12,"9/23/20",38537.0205173952
"63",371,2,11,19.6,"9/23/20",46398.3050847458
"64",371,1,5,12,"9/24/20",27598.8700564972
"65",371,2,5,12,"9/24/20",58349.0269930948
"66",371,3,5,12,"9/24/20",65400.3506721216
"67",371,1,7,15,"9/24/20",130779.661016949
"68",371,2,7,15,"9/24/20",119559.322033898
"69",371,3,7,15,"9/24/20",69836.2539500144
"70",371,1,9,17.5,"9/24/20",240385.739333723
"71",371,2,9,17.5,"9/24/20",219621.903520209
"72",371,3,9,17.5,"9/24/20",246316.818774446
"73",371,1,11,19.6,"9/24/20",234990.583804143
"74",371,2,11,19.6,"9/24/20",111457.627118644
"75",371,3,11,19.6,"9/24/20",239314.664701548
"76",371,1,13,21.9,"9/24/20",361238.025055269
"77",371,2,13,21.9,"9/24/20",245958.279009126
"78",371,3,13,21.9,"9/24/20",303209.520375045
"79",371,1,15,23.8,"9/24/20",395652.173913044
"80",371,2,15,23.8,"9/24/20",342625.315542734
"81",371,3,15,23.8,"9/24/20",445841.545132046
"82",371,1,17,25.7,"9/24/20",124722.384570427
"83",371,2,17,25.7,"9/24/20",125102.27936879
"84",371,3,17,25.7,"9/24/20",145605.775266792
"85",371,1,7,15,"9/25/20",187340.020754064
"86",371,2,7,15,"9/25/20",195946.941783346
"87",371,3,7,15,"9/25/20",138377.723970944
"88",371,1,9,17.5,"9/25/20",349404.976559683
"89",371,2,9,17.5,"9/25/20",444955.609362389
"90",371,3,9,17.5,"9/25/20",329044.68412943
"91",371,1,5,12,"9/25/20",27146.4295637677
"92",371,2,5,12,"9/25/20",113170.903954802
"93",371,3,5,12,"9/25/20",94219.1283292978
"94",371,1,11,19.6,"9/25/20",305208.763952046
"95",371,2,11,19.6,"9/25/20",198203.389830508
"96",371,1,13,21.9,"9/25/20",364322.033898305
"97",371,2,13,21.9,"9/25/20",324348.904505994
"98",371,3,13,21.9,"9/25/20",353983.050847458
"99",371,1,15,23.8,"9/25/20",395328.648201736
"100",371,2,15,23.8,"9/25/20",384704.42331542
"101",371,3,15,23.8,"9/25/20",463667.970447631
"102",371,1,19,28,"9/25/20",16271.186440678
"103",371,2,19,28,"9/25/20",12090.395480226
"104",371,3,19,28,"9/25/20",10367.2316384181
"105",371,1,5,12,"9/26/20",26836.1581920904
"106",371,2,5,12,"9/26/20",157338.622430581
"107",371,3,5,12,"9/26/20",122641.509433962
"108",371,1,7,15,"9/26/20",311016.949152542
"109",371,2,7,15,"9/26/20",274051.654560129
"110",371,3,7,15,"9/26/20",216018.610834164
"111",371,1,9,17.5,"9/26/20",469444.444444444
"112",371,2,9,17.5,"9/26/20",457344.632768362
"113",371,3,9,17.5,"9/26/20",365277.141548328
"114",371,1,11,19.6,"9/26/20",308108.108108108
"115",371,2,11,19.6,"9/26/20",295480.225988701
"116",371,3,11,19.6,"9/26/20",323550.401427297
"117",371,1,13,21.9,"9/26/20",375496.368038741
"118",371,2,13,21.9,"9/26/20",333944.113605131
"119",371,3,13,21.9,"9/26/20",335451.97740113
"120",371,1,15,23.8,"9/26/20",370087.036188731
"121",371,2,15,23.8,"9/26/20",375706.214689266
"122",371,3,15,23.8,"9/26/20",494479.418886199
"123",371,1,17,25.7,"9/26/20",266987.673343606
"124",371,2,17,25.7,"9/26/20",264105.461393597
"125",371,3,17,25.7,"9/26/20",279306.267244777
"126",371,1,19,28,"9/26/20",36299.4350282486
"127",371,2,19,28,"9/26/20",23361.581920904
"128",371,3,19,28,"9/26/20",21468.9265536723
"129",371,1,7,15,"9/27/20",311016.949152542
"130",371,2,7,15,"9/27/20",274051.654560129
"131",371,3,7,15,"9/27/20",216018.610834164
"132",371,1,9,17.5,"9/27/20",469444.444444444
"133",371,2,9,17.5,"9/27/20",457344.632768362
"134",371,3,9,17.5,"9/27/20",365277.141548328
"135",371,1,11,19.6,"9/27/20",308108.108108108
"136",371,2,11,19.6,"9/27/20",295480.225988701
"137",371,3,11,19.6,"9/27/20",323550.401427297
"138",371,1,13,21.9,"9/27/20",375496.368038741
"139",371,2,13,21.9,"9/27/20",333944.113605131
"140",371,3,13,21.9,"9/27/20",335451.97740113
"141",371,1,15,23.8,"9/27/20",370087.036188731
"142",371,2,15,23.8,"9/27/20",375706.214689266
"143",371,3,15,23.8,"9/27/20",494479.418886199
"144",371,1,17,25.7,"9/27/20",266987.673343606
"145",371,2,17,25.7,"9/27/20",264105.461393597
"146",371,3,17,25.7,"9/27/20",279306.267244777
"147",371,1,19,28,"9/27/20",36299.4350282486
"148",371,2,19,28,"9/27/20",23361.581920904
"149",371,3,19,28,"9/27/20",21468.9265536723
"150",371,1,5,12,"9/27/20",27118.6440677966
"151",371,2,5,12,"9/27/20",180987.472365512
"152",371,3,5,12,"9/27/20",145966.101694915
"153",371,1,5,12,"9/28/20",25338.9830508475
"154",371,2,5,12,"9/28/20",206625.577812018
"155",371,3,5,12,"9/28/20",176346.516007533
"156",371,1,7,15,"9/28/20",374818.401937046
"157",371,2,7,15,"9/28/20",307329.363261567
"158",371,3,7,15,"9/28/20",264564.446196295
"159",371,1,9,17.5,"9/28/20",491884.951206985
"160",371,2,9,17.5,"9/28/20",460518.444666002
"161",371,3,9,17.5,"9/28/20",349614.791987673
"162",371,1,11,19.6,"9/28/20",287188.434695912
"163",371,2,11,19.6,"9/28/20",312263.210368893
"164",371,3,11,19.6,"9/28/20",336877.247046739
"165",371,1,13,21.9,"9/28/20",392090.395480226
"166",371,2,13,21.9,"9/28/20",306929.212362911
"167",371,3,13,21.9,"9/28/20",381201.848998459
"168",371,1,15,23.8,"9/28/20",393519.441674975
"169",371,2,15,23.8,"9/28/20",388434.695912263
"170",371,3,15,23.8,"9/28/20",485907.99031477
"171",371,1,17,25.7,"9/28/20",276575.401999131
"172",371,2,17,25.7,"9/28/20",250686.037126715
"173",371,3,17,25.7,"9/28/20",291837.644959857
"174",371,1,19,28,"9/28/20",89887.0056497175
"175",371,2,19,28,"9/28/20",48220.3389830509
"176",371,3,19,28,"9/28/20",44293.7853107345
"177",371,1,19,28,"9/27/20",134858.757062147
"178",371,2,19,28,"9/27/20",72768.3615819209
"179",371,3,19,28,"9/27/20",61977.4011299435
"180",379,1,3,12.8,"5/17/21",559806.295399516
"181",379,2,3,12.8,"5/17/21",615690.072639225
"182",379,3,3,12.8,"5/17/21",547363.465160075
"183",379,1,3,12.8,"5/19/21",876112.288135593
"184",379,2,3,12.8,"5/19/21",960666.277030976
"185",379,3,3,12.8,"5/19/21",841949.152542373
"186",379,1,3,12.8,"5/20/21",1030976.03740503
"187",379,2,3,12.8,"5/20/21",1187106.53753027
"188",379,3,3,12.8,"5/20/21",1129721.5496368
"189",379,1,6,16.7,"5/15/21",624722.384570427
"190",379,2,6,16.7,"5/15/21",652080.123266564
"191",379,3,6,16.7,"5/15/21",686440.677966102
"192",379,1,6,16.7,"5/17/21",1119460.13810421
"193",379,2,6,16.7,"5/17/21",1317576.89893283
"194",379,3,6,16.7,"5/17/21",1267796.61016949
"195",379,1,6,16.7,"5/19/21",1897175.14124294
"196",379,2,6,16.7,"5/19/21",2289924.67043315
"197",379,3,6,16.7,"5/19/21",2181355.93220339
"198",379,1,9,20.1,"5/13/21",667745.249101181
"199",379,2,9,20.1,"5/13/21",666749.750747757
"200",379,3,9,20.1,"5/13/21",656610.169491525
"201",379,1,9,20.1,"5/15/21",1184921.09877265
"202",379,2,9,20.1,"5/15/21",1119300.16402406
"203",379,3,9,20.1,"5/15/21",1055221.43247676
"204",379,1,9,20.1,"5/17/21",2063983.05084746
"205",379,2,9,20.1,"5/17/21",2182069.58073149
"206",379,3,9,20.1,"5/17/21",2066694.91525424
"207",379,1,12,23,"5/13/21",535965.274906986
"208",379,2,12,23,"5/13/21",505828.854898718
"209",379,3,12,23,"5/13/21",540927.218344965
"210",379,1,12,23,"5/15/21",770217.917675545
"211",379,2,12,23,"5/15/21",869591.226321037
"212",379,3,12,23,"5/15/21",952913.13559322
"213",379,1,12,23,"5/17/21",1540286.83181226
"214",379,2,12,23,"5/17/21",1547327.24902216
"215",379,3,12,23,"5/17/21",1703601.69491525
"216",379,1,12,23,"5/19/21",2070932.20338983
"217",379,2,12,23,"5/19/21",2185994.64763604
"218",379,3,12,23,"5/19/21",2194201.60570919
"219",379,1,15,25.9,"5/15/21",301215.917464996
"220",379,2,15,25.9,"5/15/21",240045.963803505
"221",379,3,15,25.9,"5/15/21",276860.722181282
"222",379,1,15,25.9,"5/17/21",477650.76862436
"223",379,2,15,25.9,"5/17/21",385078.099036225
"224",379,3,15,25.9,"5/17/21",472052.730696798
"225",379,1,15,25.9,"5/19/21",825731.895223421
"226",379,2,15,25.9,"5/19/21",794366.899302094
"227",379,3,15,25.9,"5/19/21",781403.013182674
"228",379,1,15,25.9,"5/20/21",921840.1937046
"229",379,2,15,25.9,"5/20/21",784311.169056932
"230",379,3,15,25.9,"5/20/21",1018644.06779661
"231",379,1,15,25.9,"5/21/21",1197853.10734463
"232",379,2,15,25.9,"5/21/21",992572.283150548
"233",379,3,15,25.9,"5/21/21",1204745.76271186
"234",379,1,18,28.6,"4/26/21",8446.32768361582
"235",379,2,18,28.6,"4/26/21",7118.64406779661
"236",379,3,18,28.6,"4/26/21",7344.63276836158
"237",379,1,18,28.6,"4/28/21",14435.0282485876
"238",379,2,18,28.6,"4/28/21",11610.1694915254
"239",379,3,18,28.6,"4/28/21",10734.4632768362
"240",379,1,18,28.6,"5/3/21",26271.186440678
"241",379,2,18,28.6,"5/3/21",19293.7853107345
"242",379,3,18,28.6,"5/3/21",18107.3446327684
"243",379,1,18,28.6,"5/12/21",36638.418079096
"244",379,2,18,28.6,"5/12/21",29435.0282485876
"245",379,3,18,28.6,"5/12/21",24632.7683615819
"246",379,1,18,28.6,"5/24/21",60508.4745762712
"247",379,2,18,28.6,"5/24/21",45480.2259887006
"248",379,3,18,28.6,"5/24/21",41129.9435028249
"249",379,1,18,28.6,"5/26/21",40847.4576271187
"250",379,2,18,28.6,"5/26/21",37824.8587570621
"251",379,3,18,28.6,"5/26/21",40819.209039548
"252",379,1,20,30.3,"4/26/21",7796.61016949153
"253",379,2,20,30.3,"4/26/21",9378.53107344633
"254",379,3,20,30.3,"4/26/21",9858.75706214689
"255",379,1,20,30.3,"4/28/21",10847.4576271186
"256",379,2,20,30.3,"4/28/21",10564.9717514124
"257",379,3,20,30.3,"4/28/21",10677.9661016949
"258",379,1,20,30.3,"5/3/21",22711.8644067797
"259",379,2,20,30.3,"5/3/21",21497.1751412429
"260",379,3,20,30.3,"5/3/21",20225.988700565
"261",379,1,20,30.3,"5/12/21",53474.5762711864
"262",379,2,20,30.3,"5/12/21",3644.06779661017
"263",379,3,20,30.3,"5/12/21",39378.5310734463
"264",379,1,20,30.3,"5/24/21",66949.1525423729
"265",379,2,20,30.3,"5/24/21",46751.4124293785
"266",379,3,20,30.3,"5/24/21",49353.6340132146
"267",379,1,20,30.3,"5/26/21",42824.8587570621
"268",379,2,20,30.3,"5/26/21",43022.5988700565
"269",379,3,20,30.3,"5/26/21",36214.6892655367
"270",1212,1,6,17,"2022-11-21",1018.00720288115
"271",1212,2,6,17,"2022-11-21",499.120141043992
"272",1212,3,6,17,"2022-11-21",1160.35761681725
"273",1212,1,6,17,"2022-11-22",708.066214362498
"274",1212,2,6,17,"2022-11-22",741.703381177447
"275",1212,3,6,17,"2022-11-22",1799.27263082662
